field,Res,Decesion,amount
compensation: $1500,{'money': '1500'},1500,NA
compensation: Please send your rates,{},-1,NA
compensation: Negotiable,{},-1,NA
compensation: TBD Flat Rate,{},-1,NA
compensation: 100$per hour,{'time': ''},-1,hour
compensation: 750,{'cardinal': '750'},750,NA
compensation: 500,{'cardinal': '500'},500,NA
compensation: $10/hr,{'money': '10'},10,hr
"compensation: Union, National Commercials pay $672 per day plus residuals","{'org': 'Union, National Commercials', 'money': '672'}",672,day
compensation: to be discussed,{},-1,NA
compensation: DOE,{},-1,NA
compensation: $15 per hour of work,{'money': '15'},15,hour
compensation: $25 HOURLY,{'money': '25'},25,hourly
compensation: $15 per hour,{'money': '15'},15,hour
no pay,{},-1,NA
compensation: 5 dollars,{'money': '5 dollars'},5,NA
compensation: to be discussed,{},-1,NA
no pay,{},-1,NA
compensation: $25/hr,{'money': '25'},25,hr
compensation: $100,{'money': '100'},100,NA
compensation: $300,{'money': '300'},300,NA
compensation: $25 hour,{'money': '25 hour'},25,hour
compensation: Participants will be compensated for full participation (up to $150),{'money': 'up to 150'},150, full participation (up to $150)
compensation: %of Fee Charge + Possible Equity Position,{'org': '%of Fee Charge + Possible Equity Position'},-1,NA
compensation: % of Fee Charge + Possible Equity Position,{'org': '% of Fee Charge + Possible Equity Position'},-1,NA
compensation: $25 per hour,{'money': '25'},25,hour
compensation: $11 an hour plus commission,{'money': '11'},11,hour
compensation: To be agreed,{},-1,NA
compensation: Receive $100 - $500 per video,{'money': '100 - 500'},100, video
compensation: Stipend,{},-1,NA
compensation: Pay rate starts at $20 per article/press release.,{'money': '20'},20,press release.
compensation: $75/hour,{'money': '75/hour'},75,hour
compensation: TBD,{},-1,NA
compensation: 50,{'cardinal': '50'},50,NA
compensation: $50 for 2 hours,"{'money': '50', 'time': ''}",50,hour
compensation: $100,{'money': '100'},100,NA
